Experiment ID,Test Date,Deployment Type,Service Name,HTTP Method,Workload Level,VUs,Duration,Run Number,Average Latency (ms),Median Latency (ms),P95 Latency (ms),P99 Latency (ms),Min Latency (ms),Max Latency (ms),Requests per Second,Total Requests,Failed Requests,Error Rate (%),Cold Start Observed (Yes/No),Notes
E4,2026-03-27,VM,cart-service,POST,High,30,30s,Run 1,607.26,572.54,674.17,1700.00,467.93,2050.00,18.13,573,0,0,No,"Noticeable tail-latency spike under high write load. Possible reasons: transient DB pressure, queueing under concurrency, or VM resource contention."
E4,2026-03-27,VM,cart-service,POST,High,30,30s,Run 2,603.50,565.28,759.83,1700.00,408.81,2020.00,18.19,573,0,0,No,"Noticeable tail-latency spike under high write load. Possible reasons: transient DB pressure, queueing under concurrency, or VM resource contention."
E4,2026-03-27,VM,cart-service,POST,High,30,30s,Run 3,594.62,568.10,672.37,1560.00,406.41,1890.00,18.31,577,0,0,No,"Noticeable tail-latency spike under high write load. Possible reasons: transient DB pressure, queueing under concurrency, or VM resource contention."
E4,2026-03-27,Container,cart-service,POST,High,30,30s,Run 1,624.26,484.26,1510.00,3770.00,411.33,4130.00,17.95,565,0,0,Yes,"Strong tail-latency spike under high write load. Possible reasons: Cloud Run startup/scaling overhead, transient DB pressure, or platform/network contention."
E4,2026-03-27,Container,cart-service,POST,High,30,30s,Run 2,532.02,486.70,599.03,1820.00,409.53,2110.00,19.04,599,0,0,No,"Tail-latency spike under high write load. Possible reasons: Cloud Run scaling delay, DB contention, or transient platform overhead."
E4,2026-03-27,Container,cart-service,POST,High,30,30s,Run 3,533.73,482.43,577.19,1980.00,416.04,2270.00,19.01,598,0,0,No,"Tail-latency spike under high write load. Possible reasons: Cloud Run scaling delay, DB contention, or transient platform overhead."
E4,2026-03-27,Serverless,cart-service,POST,High,30,30s,Run 1,615.78,478.33,1960.00,2830.00,391.47,3250.00,18.03,567,0,0,Yes,"Strong tail-latency spike under high write load. Possible reasons: function startup overhead, platform autoscaling delay, DB contention, or transient network overhead."
E4,2026-03-27,Serverless,cart-service,POST,High,30,30s,Run 2,509.56,478.11,556.52,1530.00,393.41,1780.00,19.28,606,0,0,No,"Tail-latency spike under high write load. Possible reasons: function scaling delay, DB contention, or transient platform overhead."
E4,2026-03-27,Serverless,cart-service,POST,High,30,30s,Run 3,509.50,476.31,570.52,1460.00,401.17,1750.00,19.27,606,0,0,No,"Tail-latency spike under high write load. Possible reasons: function scaling delay, DB contention, or transient platform overhead."
E5,2026-03-27,Container,cart-service,GET,Single request,1,1 request,Run 1,1600.00,1600.00,1600.00,1600.00,1600.00,1600.00,0.57,1,0,0,Yes,
E5,2026-03-27,Serverless,cart-service,GET,Single request,1,1 request,Run 1,1530.00,1530.00,1530.00,1530.00,1530.00,1530.00,0.57,1,0,0,Yes,
